,org:resource,lifecycle:transition_start,concept:name,time:timestamp_start,case:REG_DATE_start,case:concept:name,case:AMOUNT_REQ_start,lifecycle:transition_complete,time:timestamp_complete,case:REG_DATE_complete,case:AMOUNT_REQ_complete,duration,duration_seconds
459179,10138,START,W_Completeren aanvraag,2012-01-05 12:04:19.843000+00:00,2012-01-05 11:29:29.571000+00:00,198235,47000,COMPLETE,2012-01-05 12:08:59.933000+00:00,2012-01-05 11:29:29.571000+00:00,47000,0 days 00:04:40.090000,280
494717,10138,START,W_Completeren aanvraag,2012-01-12 11:32:26.017000+00:00,2012-01-12 11:31:20.239000+00:00,200173,50000,COMPLETE,2012-01-12 11:33:34.876000+00:00,2012-01-12 11:31:20.239000+00:00,50000,0 days 00:01:08.859000,68
494728,10138,START,W_Completeren aanvraag,2012-01-12 11:33:43.808000+00:00,2012-01-12 11:31:20.239000+00:00,200173,50000,COMPLETE,2012-01-12 11:39:29.325000+00:00,2012-01-12 11:31:20.239000+00:00,50000,0 days 00:05:45.517000,345
654925,10138,START,W_Completeren aanvraag,2012-02-14 08:43:38.577000+00:00,2012-02-14 08:42:51.004000+00:00,209188,5000,COMPLETE,2012-02-14 08:47:41.411000+00:00,2012-02-14 08:42:51.004000+00:00,5000,0 days 00:04:02.834000,242
683094,10138,START,W_Completeren aanvraag,2012-02-20 14:20:33.452000+00:00,2012-02-20 14:18:59.656000+00:00,211116,6000,COMPLETE,2012-02-20 14:23:56.831000+00:00,2012-02-20 14:18:59.656000+00:00,6000,0 days 00:03:23.379000,203
17366,10138,START,W_Nabellen incomplete dossiers,2011-10-12 10:08:31.112000+00:00,2011-10-04 13:11:45.190000+00:00,174382,5000,COMPLETE,2011-10-12 10:09:07.302000+00:00,2011-10-04 13:11:45.190000+00:00,5000,0 days 00:00:36.190000,36
17380,10138,START,W_Nabellen incomplete dossiers,2011-10-12 10:09:26.557000+00:00,2011-10-04 13:11:45.190000+00:00,174382,5000,COMPLETE,2011-10-12 10:10:12.888000+00:00,2011-10-04 13:11:45.190000+00:00,5000,0 days 00:00:46.331000,46
17727,10138,START,W_Nabellen incomplete dossiers,2011-10-14 09:58:14.671000+00:00,2011-10-04 13:49:31.787000+00:00,174397,20000,COMPLETE,2011-10-14 09:58:25.376000+00:00,2011-10-04 13:49:31.787000+00:00,20000,0 days 00:00:10.705000,10
25990,10138,START,W_Nabellen incomplete dossiers,2011-10-14 14:08:58.453000+00:00,2011-10-05 14:41:36.497000+00:00,174761,10000,COMPLETE,2011-10-14 14:10:11.829000+00:00,2011-10-05 14:41:36.497000+00:00,10000,0 days 00:01:13.376000,73
23273,10138,START,W_Nabellen incomplete dossiers,2011-10-21 15:13:04.896000+00:00,2011-10-05 10:45:43.350000+00:00,174650,7500,COMPLETE,2011-10-21 15:14:34.757000+00:00,2011-10-05 10:45:43.350000+00:00,7500,0 days 00:01:29.861000,89
92187,10138,START,W_Nabellen incomplete dossiers,2011-11-01 11:03:17.835000+00:00,2011-10-18 21:10:07.435000+00:00,177995,15000,COMPLETE,2011-11-01 11:04:22.244000+00:00,2011-10-18 21:10:07.435000+00:00,15000,0 days 00:01:04.409000,64
74275,10138,START,W_Nabellen incomplete dossiers,2011-11-02 15:01:23.522000+00:00,2011-10-14 20:31:04.229000+00:00,177077,30000,COMPLETE,2011-11-02 15:10:13.637000+00:00,2011-10-14 20:31:04.229000+00:00,30000,0 days 00:08:50.115000,530
69116,10138,START,W_Nabellen incomplete dossiers,2011-11-03 09:31:54.053000+00:00,2011-10-13 20:24:05.939000+00:00,176813,30000,COMPLETE,2011-11-03 09:35:54.363000+00:00,2011-10-13 20:24:05.939000+00:00,30000,0 days 00:04:00.310000,240
90868,10138,START,W_Nabellen incomplete dossiers,2011-11-03 15:43:51.364000+00:00,2011-10-18 19:18:46.825000+00:00,177941,30000,COMPLETE,2011-11-03 15:44:19.439000+00:00,2011-10-18 19:18:46.825000+00:00,30000,0 days 00:00:28.075000,28
69144,10138,START,W_Nabellen incomplete dossiers,2011-11-04 13:49:34.363000+00:00,2011-10-13 20:24:05.939000+00:00,176813,30000,COMPLETE,2011-11-04 13:52:22.440000+00:00,2011-10-13 20:24:05.939000+00:00,30000,0 days 00:02:48.077000,168
85713,10138,START,W_Nabellen incomplete dossiers,2011-11-04 14:42:32.603000+00:00,2011-10-17 19:46:04.976000+00:00,177624,22500,COMPLETE,2011-11-04 14:47:24.161000+00:00,2011-10-17 19:46:04.976000+00:00,22500,0 days 00:04:51.558000,291
137527,10138,START,W_Nabellen incomplete dossiers,2011-11-04 19:06:44.374000+00:00,2011-10-27 19:35:40.721000+00:00,180358,15000,COMPLETE,2011-11-04 19:15:39.990000+00:00,2011-10-27 19:35:40.721000+00:00,15000,0 days 00:08:55.616000,535
119318,10138,START,W_Nabellen incomplete dossiers,2011-11-07 14:23:14.822000+00:00,2011-10-24 13:07:31.030000+00:00,179423,15000,COMPLETE,2011-11-07 14:26:52.937000+00:00,2011-10-24 13:07:31.030000+00:00,15000,0 days 00:03:38.115000,218
85835,10138,START,W_Nabellen incomplete dossiers,2011-11-07 15:44:04.347000+00:00,2011-10-17 19:46:04.976000+00:00,177624,22500,COMPLETE,2011-11-07 15:45:46.462000+00:00,2011-10-17 19:46:04.976000+00:00,22500,0 days 00:01:42.115000,102
103241,10138,START,W_Nabellen incomplete dossiers,2011-11-09 13:48:42.690000+00:00,2011-10-20 22:46:40.787000+00:00,178722,10000,COMPLETE,2011-11-09 13:52:47.748000+00:00,2011-10-20 22:46:40.787000+00:00,10000,0 days 00:04:05.058000,245
118379,10138,START,W_Nabellen incomplete dossiers,2011-11-09 14:23:41.161000+00:00,2011-10-24 12:08:46.912000+00:00,179399,13000,COMPLETE,2011-11-09 14:24:20.648000+00:00,2011-10-24 12:08:46.912000+00:00,13000,0 days 00:00:39.487000,39
115047,10138,START,W_Nabellen incomplete dossiers,2011-11-10 10:47:04.813000+00:00,2011-10-24 10:14:23.027000+00:00,179354,25000,COMPLETE,2011-11-10 10:49:59.976000+00:00,2011-10-24 10:14:23.027000+00:00,25000,0 days 00:02:55.163000,175
88243,10138,START,W_Nabellen incomplete dossiers,2011-11-11 10:40:55.592000+00:00,2011-10-18 12:18:50.761000+00:00,177776,25000,COMPLETE,2011-11-11 10:44:22.375000+00:00,2011-10-18 12:18:50.761000+00:00,25000,0 days 00:03:26.783000,206
58937,10138,START,W_Nabellen incomplete dossiers,2011-11-11 15:11:36.584000+00:00,2011-10-12 09:39:26.635000+00:00,176374,15000,COMPLETE,2011-11-11 15:19:27.701000+00:00,2011-10-12 09:39:26.635000+00:00,15000,0 days 00:07:51.117000,471
156939,10138,START,W_Nabellen incomplete dossiers,2011-11-13 12:44:56.483000+00:00,2011-11-01 21:40:11.498000+00:00,181447,25000,COMPLETE,2011-11-13 12:45:14.923000+00:00,2011-11-01 21:40:11.498000+00:00,25000,0 days 00:00:18.440000,18
156951,10138,START,W_Nabellen incomplete dossiers,2011-11-13 12:45:37.595000+00:00,2011-11-01 21:40:11.498000+00:00,181447,25000,COMPLETE,2011-11-13 12:45:52.847000+00:00,2011-11-01 21:40:11.498000+00:00,25000,0 days 00:00:15.252000,15
104470,10138,START,W_Nabellen incomplete dossiers,2011-11-13 13:39:06.768000+00:00,2011-10-21 10:50:07.184000+00:00,178804,33629,COMPLETE,2011-11-13 13:40:08.482000+00:00,2011-10-21 10:50:07.184000+00:00,33629,0 days 00:01:01.714000,61
103265,10138,START,W_Nabellen incomplete dossiers,2011-11-14 13:10:48.719000+00:00,2011-10-20 22:46:40.787000+00:00,178722,10000,COMPLETE,2011-11-14 13:14:18.846000+00:00,2011-10-20 22:46:40.787000+00:00,10000,0 days 00:03:30.127000,210
231130,10138,START,W_Nabellen incomplete dossiers,2011-11-15 09:37:49.749000+00:00,2011-11-15 09:21:13.227000+00:00,185449,15000,COMPLETE,2011-11-15 09:38:21.965000+00:00,2011-11-15 09:21:13.227000+00:00,15000,0 days 00:00:32.216000,32
231142,10138,START,W_Nabellen incomplete dossiers,2011-11-15 09:38:42.009000+00:00,2011-11-15 09:21:13.227000+00:00,185449,15000,COMPLETE,2011-11-15 09:39:00.045000+00:00,2011-11-15 09:21:13.227000+00:00,15000,0 days 00:00:18.036000,18
188855,10138,START,W_Nabellen incomplete dossiers,2011-11-16 10:48:22.240000+00:00,2011-11-07 17:44:25.558000+00:00,182894,15000,COMPLETE,2011-11-16 10:49:34.941000+00:00,2011-11-07 17:44:25.558000+00:00,15000,0 days 00:01:12.701000,72
151339,10138,START,W_Nabellen incomplete dossiers,2011-11-16 12:53:08.748000+00:00,2011-10-31 17:28:10.124000+00:00,181073,12000,COMPLETE,2011-11-16 12:54:10.935000+00:00,2011-10-31 17:28:10.124000+00:00,12000,0 days 00:01:02.187000,62
151984,10138,START,W_Nabellen incomplete dossiers,2011-11-16 12:59:08.872000+00:00,2011-10-31 19:08:06.661000+00:00,181121,10000,COMPLETE,2011-11-16 13:00:44.554000+00:00,2011-10-31 19:08:06.661000+00:00,10000,0 days 00:01:35.682000,95
180930,10138,START,W_Nabellen incomplete dossiers,2011-11-18 11:41:10.898000+00:00,2011-11-06 08:23:12.219000+00:00,182533,6000,COMPLETE,2011-11-18 11:41:39.271000+00:00,2011-11-06 08:23:12.219000+00:00,6000,0 days 00:00:28.373000,28
174509,10138,START,W_Nabellen incomplete dossiers,2011-11-23 11:45:34.108000+00:00,2011-11-04 17:25:05.253000+00:00,182293,30000,COMPLETE,2011-11-23 11:46:47.137000+00:00,2011-11-04 17:25:05.253000+00:00,30000,0 days 00:01:13.029000,73
216925,10138,START,W_Nabellen incomplete dossiers,2011-11-23 13:23:21.517000+00:00,2011-11-11 16:01:38.917000+00:00,184598,15000,COMPLETE,2011-11-23 13:24:41.506000+00:00,2011-11-11 16:01:38.917000+00:00,15000,0 days 00:01:19.989000,79
220946,10138,START,W_Nabellen incomplete dossiers,2011-11-23 13:48:55.131000+00:00,2011-11-12 16:28:27.192000+00:00,184820,10000,COMPLETE,2011-11-23 13:50:22.676000+00:00,2011-11-12 16:28:27.192000+00:00,10000,0 days 00:01:27.545000,87
220962,10138,START,W_Nabellen incomplete dossiers,2011-11-23 15:13:28.749000+00:00,2011-11-12 16:28:27.192000+00:00,184820,10000,COMPLETE,2011-11-23 15:14:10.333000+00:00,2011-11-12 16:28:27.192000+00:00,10000,0 days 00:00:41.584000,41
174861,10138,START,W_Nabellen incomplete dossiers,2011-11-24 14:21:59.135000+00:00,2011-11-04 18:15:49.995000+00:00,182299,16000,COMPLETE,2011-11-24 14:27:58.309000+00:00,2011-11-04 18:15:49.995000+00:00,16000,0 days 00:05:59.174000,359
190458,10138,START,W_Nabellen incomplete dossiers,2011-11-25 08:26:06.300000+00:00,2011-11-07 21:26:56.848000+00:00,182963,12000,COMPLETE,2011-11-25 08:32:39.749000+00:00,2011-11-07 21:26:56.848000+00:00,12000,0 days 00:06:33.449000,393
173174,10138,START,W_Nabellen incomplete dossiers,2011-11-28 09:56:20.919000+00:00,2011-11-04 15:20:58.646000+00:00,182242,25000,COMPLETE,2011-11-28 09:58:46.430000+00:00,2011-11-04 15:20:58.646000+00:00,25000,0 days 00:02:25.511000,145
115676,10138,START,W_Nabellen incomplete dossiers,2011-11-28 10:33:46.751000+00:00,2011-10-24 11:37:19.851000+00:00,179384,20000,COMPLETE,2011-11-28 10:37:02.390000+00:00,2011-10-24 11:37:19.851000+00:00,20000,0 days 00:03:15.639000,195
218670,10138,START,W_Nabellen incomplete dossiers,2011-11-29 09:28:14.621000+00:00,2011-11-11 22:54:51.370000+00:00,184691,2500,COMPLETE,2011-11-29 09:32:35.334000+00:00,2011-11-11 22:54:51.370000+00:00,2500,0 days 00:04:20.713000,260
238927,10138,START,W_Nabellen incomplete dossiers,2011-11-29 10:29:45.213000+00:00,2011-11-16 13:42:13.584000+00:00,185819,17000,COMPLETE,2011-11-29 10:31:16.213000+00:00,2011-11-16 13:42:13.584000+00:00,17000,0 days 00:01:31,91
201024,10138,START,W_Nabellen incomplete dossiers,2011-11-30 14:51:26.492000+00:00,2011-11-09 14:31:40.287000+00:00,183471,25000,COMPLETE,2011-11-30 14:52:58.798000+00:00,2011-11-09 14:31:40.287000+00:00,25000,0 days 00:01:32.306000,92
219846,10138,START,W_Nabellen incomplete dossiers,2011-12-01 12:56:48.040000+00:00,2011-11-12 13:55:55.340000+00:00,184781,15000,COMPLETE,2011-12-01 12:57:08.302000+00:00,2011-11-12 13:55:55.340000+00:00,15000,0 days 00:00:20.262000,20
254589,10138,START,W_Nabellen incomplete dossiers,2011-12-01 12:57:16.149000+00:00,2011-11-18 17:00:03.567000+00:00,187115,17000,COMPLETE,2011-12-01 12:57:53.506000+00:00,2011-11-18 17:00:03.567000+00:00,17000,0 days 00:00:37.357000,37
257817,10138,START,W_Nabellen incomplete dossiers,2011-12-01 12:58:01.356000+00:00,2011-11-19 10:51:41.814000+00:00,187313,25000,COMPLETE,2011-12-01 12:58:22.060000+00:00,2011-11-19 10:51:41.814000+00:00,25000,0 days 00:00:20.704000,20
100981,10138,START,W_Nabellen incomplete dossiers,2011-12-01 12:58:28.804000+00:00,2011-10-20 14:40:00.805000+00:00,178590,15000,COMPLETE,2011-12-01 12:58:39.898000+00:00,2011-10-20 14:40:00.805000+00:00,15000,0 days 00:00:11.094000,11
271439,10138,START,W_Nabellen incomplete dossiers,2011-12-01 16:05:50.905000+00:00,2011-11-22 19:15:31.597000+00:00,188179,8000,COMPLETE,2011-12-01 16:07:20.916000+00:00,2011-11-22 19:15:31.597000+00:00,8000,0 days 00:01:30.011000,90
277340,10138,START,W_Nabellen incomplete dossiers,2011-12-02 08:51:30.346000+00:00,2011-11-23 17:48:11.263000+00:00,188509,30000,COMPLETE,2011-12-02 08:52:49.353000+00:00,2011-11-23 17:48:11.263000+00:00,30000,0 days 00:01:19.007000,79
217970,10138,START,W_Nabellen incomplete dossiers,2011-12-02 15:38:05.940000+00:00,2011-11-11 19:14:25.364000+00:00,184652,10000,COMPLETE,2011-12-02 15:38:16.024000+00:00,2011-11-11 19:14:25.364000+00:00,10000,0 days 00:00:10.084000,10
185743,10138,START,W_Nabellen incomplete dossiers,2011-12-05 09:14:48.229000+00:00,2011-11-07 10:13:23.303000+00:00,182726,16500,COMPLETE,2011-12-05 09:16:03.873000+00:00,2011-11-07 10:13:23.303000+00:00,16500,0 days 00:01:15.644000,75
285120,10138,START,W_Nabellen incomplete dossiers,2011-12-06 11:03:13.498000+00:00,2011-11-25 20:34:54.119000+00:00,189082,20000,COMPLETE,2011-12-06 11:04:27.130000+00:00,2011-11-25 20:34:54.119000+00:00,20000,0 days 00:01:13.632000,73
243996,10138,START,W_Nabellen incomplete dossiers,2011-12-07 14:11:22.236000+00:00,2011-11-17 11:23:29.393000+00:00,186187,10500,COMPLETE,2011-12-07 14:11:37.135000+00:00,2011-11-17 11:23:29.393000+00:00,10500,0 days 00:00:14.899000,14
278885,10138,START,W_Nabellen incomplete dossiers,2011-12-08 08:39:06.372000+00:00,2011-11-23 21:02:41.526000+00:00,188584,6000,COMPLETE,2011-12-08 08:41:39.309000+00:00,2011-11-23 21:02:41.526000+00:00,6000,0 days 00:02:32.937000,152
224623,10138,START,W_Nabellen incomplete dossiers,2011-12-09 08:43:18.715000+00:00,2011-11-13 20:19:57.822000+00:00,185045,26000,COMPLETE,2011-12-09 08:45:36.148000+00:00,2011-11-13 20:19:57.822000+00:00,26000,0 days 00:02:17.433000,137
297990,10138,START,W_Nabellen incomplete dossiers,2011-12-09 15:42:03.139000+00:00,2011-11-29 13:31:52.638000+00:00,189829,5000,COMPLETE,2011-12-09 15:43:17.094000+00:00,2011-11-29 13:31:52.638000+00:00,5000,0 days 00:01:13.955000,73
303188,10138,START,W_Nabellen incomplete dossiers,2011-12-09 15:43:27.190000+00:00,2011-11-30 16:34:13.546000+00:00,190189,7500,COMPLETE,2011-12-09 15:43:36.522000+00:00,2011-11-30 16:34:13.546000+00:00,7500,0 days 00:00:09.332000,9
282073,10138,START,W_Nabellen incomplete dossiers,2011-12-09 16:36:17.521000+00:00,2011-11-24 22:35:02.063000+00:00,188862,7500,COMPLETE,2011-12-09 16:37:15.181000+00:00,2011-11-24 22:35:02.063000+00:00,7500,0 days 00:00:57.660000,57
300220,10138,START,W_Nabellen incomplete dossiers,2011-12-13 16:32:52.307000+00:00,2011-11-29 20:27:36.935000+00:00,189958,30000,COMPLETE,2011-12-13 16:35:39.213000+00:00,2011-11-29 20:27:36.935000+00:00,30000,0 days 00:02:46.906000,166
321065,10138,START,W_Nabellen incomplete dossiers,2011-12-14 09:45:24.941000+00:00,2011-12-03 22:50:36.973000+00:00,191049,15000,COMPLETE,2011-12-14 09:45:59.020000+00:00,2011-12-03 22:50:36.973000+00:00,15000,0 days 00:00:34.079000,34
321077,10138,START,W_Nabellen incomplete dossiers,2011-12-14 09:46:24.003000+00:00,2011-12-03 22:50:36.973000+00:00,191049,15000,COMPLETE,2011-12-14 09:47:19.938000+00:00,2011-12-03 22:50:36.973000+00:00,15000,0 days 00:00:55.935000,55
244954,10138,START,W_Nabellen incomplete dossiers,2011-12-14 10:09:41.018000+00:00,2011-11-17 13:40:40.551000+00:00,186244,6000,COMPLETE,2011-12-14 10:10:40.959000+00:00,2011-11-17 13:40:40.551000+00:00,6000,0 days 00:00:59.941000,59
244984,10138,START,W_Nabellen incomplete dossiers,2011-12-14 10:10:48.905000+00:00,2011-11-17 13:40:40.551000+00:00,186244,6000,COMPLETE,2011-12-14 10:12:26.241000+00:00,2011-11-17 13:40:40.551000+00:00,6000,0 days 00:01:37.336000,97
245002,10138,START,W_Nabellen incomplete dossiers,2011-12-14 10:12:44.664000+00:00,2011-11-17 13:40:40.551000+00:00,186244,6000,COMPLETE,2011-12-14 10:13:22.924000+00:00,2011-11-17 13:40:40.551000+00:00,6000,0 days 00:00:38.260000,38
201198,10138,START,W_Nabellen incomplete dossiers,2011-12-14 13:31:12.501000+00:00,2011-11-09 14:31:40.287000+00:00,183471,25000,COMPLETE,2011-12-14 13:31:53.842000+00:00,2011-11-09 14:31:40.287000+00:00,25000,0 days 00:00:41.341000,41
300311,10138,START,W_Nabellen incomplete dossiers,2011-12-15 08:46:25.070000+00:00,2011-11-29 20:27:36.935000+00:00,189958,30000,COMPLETE,2011-12-15 08:49:38.691000+00:00,2011-11-29 20:27:36.935000+00:00,30000,0 days 00:03:13.621000,193
300333,10138,START,W_Nabellen incomplete dossiers,2011-12-15 08:49:58.468000+00:00,2011-11-29 20:27:36.935000+00:00,189958,30000,COMPLETE,2011-12-15 08:52:58.420000+00:00,2011-11-29 20:27:36.935000+00:00,30000,0 days 00:02:59.952000,179
195155,10138,START,W_Nabellen incomplete dossiers,2011-12-16 12:30:07.411000+00:00,2011-11-08 16:47:05.815000+00:00,183175,15000,COMPLETE,2011-12-16 12:35:11.346000+00:00,2011-11-08 16:47:05.815000+00:00,15000,0 days 00:05:03.935000,303
220059,10138,START,W_Nabellen incomplete dossiers,2011-12-16 14:03:17.831000+00:00,2011-11-12 13:58:44.331000+00:00,184784,15000,COMPLETE,2011-12-16 14:23:43.622000+00:00,2011-11-12 13:58:44.331000+00:00,15000,0 days 00:20:25.791000,1225
255637,10138,START,W_Nabellen incomplete dossiers,2011-12-16 15:01:17.672000+00:00,2011-11-18 19:50:26.508000+00:00,187190,6000,COMPLETE,2011-12-16 15:02:32.599000+00:00,2011-11-18 19:50:26.508000+00:00,6000,0 days 00:01:14.927000,74
314825,10138,START,W_Nabellen incomplete dossiers,2011-12-19 14:35:04.667000+00:00,2011-12-02 14:56:46.212000+00:00,190758,9000,COMPLETE,2011-12-19 14:38:39.698000+00:00,2011-12-02 14:56:46.212000+00:00,9000,0 days 00:03:35.031000,215
354773,10138,START,W_Nabellen incomplete dossiers,2011-12-19 16:11:54.519000+00:00,2011-12-11 20:43:51.627000+00:00,192788,22000,COMPLETE,2011-12-19 16:12:16.757000+00:00,2011-12-11 20:43:51.627000+00:00,22000,0 days 00:00:22.238000,22
195203,10138,START,W_Nabellen incomplete dossiers,2011-12-20 08:48:01.056000+00:00,2011-11-08 16:47:05.815000+00:00,183175,15000,COMPLETE,2011-12-20 08:51:15.726000+00:00,2011-11-08 16:47:05.815000+00:00,15000,0 days 00:03:14.670000,194
328934,10138,START,W_Nabellen incomplete dossiers,2011-12-20 10:24:43.586000+00:00,2011-12-05 18:29:14.613000+00:00,191464,25000,COMPLETE,2011-12-20 10:25:52.795000+00:00,2011-12-05 18:29:14.613000+00:00,25000,0 days 00:01:09.209000,69
345799,10138,START,W_Nabellen incomplete dossiers,2011-12-20 11:59:12.204000+00:00,2011-12-09 09:28:10.432000+00:00,192368,25000,COMPLETE,2011-12-20 12:04:43.169000+00:00,2011-12-09 09:28:10.432000+00:00,25000,0 days 00:05:30.965000,330
342352,10138,START,W_Nabellen incomplete dossiers,2011-12-21 08:41:21.364000+00:00,2011-12-08 11:57:15.975000+00:00,192181,7500,COMPLETE,2011-12-21 08:47:44.516000+00:00,2011-12-08 11:57:15.975000+00:00,7500,0 days 00:06:23.152000,383
300464,10138,START,W_Nabellen incomplete dossiers,2011-12-21 15:03:03.348000+00:00,2011-11-29 20:27:36.935000+00:00,189958,30000,COMPLETE,2011-12-21 15:10:11.813000+00:00,2011-11-29 20:27:36.935000+00:00,30000,0 days 00:07:08.465000,428
330206,10138,START,W_Nabellen incomplete dossiers,2011-12-22 09:53:01.516000+00:00,2011-12-05 20:35:52.862000+00:00,191512,10000,COMPLETE,2011-12-22 09:53:57.241000+00:00,2011-12-05 20:35:52.862000+00:00,10000,0 days 00:00:55.725000,55
347846,10138,START,W_Nabellen incomplete dossiers,2011-12-23 11:19:27.321000+00:00,2011-12-09 21:39:54.229000+00:00,192491,20000,COMPLETE,2011-12-23 11:21:25.517000+00:00,2011-12-09 21:39:54.229000+00:00,20000,0 days 00:01:58.196000,118
279843,10138,START,W_Nabellen incomplete dossiers,2011-12-23 12:33:50.237000+00:00,2011-11-24 10:41:25.024000+00:00,188663,5000,COMPLETE,2011-12-23 12:35:43.939000+00:00,2011-11-24 10:41:25.024000+00:00,5000,0 days 00:01:53.702000,113
195418,10138,START,W_Nabellen incomplete dossiers,2012-01-07 10:18:06.298000+00:00,2011-11-08 16:47:05.815000+00:00,183175,15000,COMPLETE,2012-01-07 10:18:49.831000+00:00,2011-11-08 16:47:05.815000+00:00,15000,0 days 00:00:43.533000,43
351323,10138,START,W_Nabellen incomplete dossiers,2012-01-11 14:17:31.319000+00:00,2011-12-10 18:04:30.804000+00:00,192635,43000,COMPLETE,2012-01-11 14:21:09.466000+00:00,2011-12-10 18:04:30.804000+00:00,43000,0 days 00:03:38.147000,218
368459,10138,START,W_Nabellen incomplete dossiers,2012-01-11 15:25:59.195000+00:00,2011-12-15 13:29:26.657000+00:00,193774,12000,COMPLETE,2012-01-11 15:26:54.572000+00:00,2011-12-15 13:29:26.657000+00:00,12000,0 days 00:00:55.377000,55
