,concept:name,lifecycle:transition_start,time:timestamp_start,org:resource,case:concept:name,lifecycle:transition_complete,time:timestamp_complete,duration,duration_seconds,duration_sampled,seconds_in_day,1,Clark,Jane,Joe,Karsten,DIAGNOSIS,REPAIR
18,DIAGNOSIS,START,2020-01-09 11:05:16.718563+00:00,Joe,6,COMPLETE,2020-01-09 11:58:59.152910+00:00,0 days 00:53:42.434347,3222,3668,39916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,REPAIR,START,2020-01-09 11:58:59.152910+00:00,1,6,COMPLETE,2020-01-09 21:46:45.794128+00:00,0 days 09:47:46.641218,35266,12079,43139,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20,QUALITY_CONTROL,START,2020-01-09 21:46:45.794128+00:00,Joe,6,COMPLETE,2020-01-10 01:12:12.171648+00:00,0 days 03:25:26.377520,12326,14716,78405,1.0,0.0,0.0,1.0,0.0,1.0,1.0
21,DIAGNOSIS,START,2020-01-09 18:05:03.090492+00:00,Karsten,7,COMPLETE,2020-01-09 19:30:08.836868+00:00,0 days 01:25:05.746376,5105,3540,65103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,REPAIR,START,2020-01-09 19:30:08.836868+00:00,Karsten,7,COMPLETE,2020-01-09 21:56:40.492511+00:00,0 days 02:26:31.655643,8791,9868,70208,0.0,0.0,0.0,0.0,1.0,1.0,0.0
23,QUALITY_CONTROL,START,2020-01-09 21:56:40.492511+00:00,Karsten,7,COMPLETE,2020-01-10 00:15:31.608652+00:00,0 days 02:18:51.116141,8331,9966,79000,0.0,0.0,0.0,0.0,2.0,1.0,1.0
24,DIAGNOSIS,START,2020-01-09 22:36:14.802038+00:00,Clark,8,COMPLETE,2020-01-09 23:56:31.302594+00:00,0 days 01:20:16.500556,4816,5111,81374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,REPAIR,START,2020-01-09 23:56:31.302594+00:00,Jane,8,COMPLETE,2020-01-10 12:21:27.970890+00:00,0 days 12:24:56.668296,44696,17799,86191,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26,QUALITY_CONTROL,START,2020-01-10 12:21:27.970890+00:00,Joe,8,COMPLETE,2020-01-10 19:06:12.831844+00:00,0 days 06:44:44.860954,24284,24108,44487,0.0,1.0,1.0,0.0,0.0,1.0,1.0
27,DIAGNOSIS,START,2020-01-11 16:39:09.396017+00:00,Clark,9,COMPLETE,2020-01-11 18:10:42.603723+00:00,0 days 01:31:33.207706,5493,3456,59949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,REPAIR,START,2020-01-11 18:10:42.603723+00:00,Joe,9,COMPLETE,2020-01-12 02:35:42.041281+00:00,0 days 08:24:59.437558,30299,19548,65442,0.0,1.0,0.0,0.0,0.0,1.0,0.0
29,QUALITY_CONTROL,START,2020-01-12 02:35:42.041281+00:00,1,9,COMPLETE,2020-01-12 05:49:33.967872+00:00,0 days 03:13:51.926591,11631,10880,9342,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,DIAGNOSIS,START,2020-01-12 19:59:05.590033+00:00,1,10,COMPLETE,2020-01-12 20:58:51.989163+00:00,0 days 00:59:46.399130,3586,3449,71945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,REPAIR,START,2020-01-12 20:58:51.989163+00:00,Karsten,10,COMPLETE,2020-01-13 01:34:21.405028+00:00,0 days 04:35:29.415865,16529,8385,75531,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32,QUALITY_CONTROL,START,2020-01-13 01:34:21.405028+00:00,Clark,10,COMPLETE,2020-01-13 04:05:56.716266+00:00,0 days 02:31:35.311238,9095,5655,5661,1.0,0.0,0.0,0.0,1.0,1.0,1.0
33,DIAGNOSIS,START,2020-01-12 22:33:53.505846+00:00,Joe,11,COMPLETE,2020-01-12 23:21:45.040356+00:00,0 days 00:47:51.534510,2871,3688,81233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,REPAIR,START,2020-01-12 23:21:45.040356+00:00,Jane,11,COMPLETE,2020-01-13 13:48:35.337188+00:00,0 days 14:26:50.296832,52010,35098,84105,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,QUALITY_CONTROL,START,2020-01-13 13:48:35.337188+00:00,Joe,11,COMPLETE,2020-01-13 22:13:04.100657+00:00,0 days 08:24:28.763469,30268,9136,49715,0.0,0.0,1.0,1.0,0.0,1.0,1.0
36,DIAGNOSIS,START,2020-01-13 15:05:21.637524+00:00,Karsten,12,COMPLETE,2020-01-13 15:55:10.914676+00:00,0 days 00:49:49.277152,2989,4367,54321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,REPAIR,START,2020-01-13 15:55:10.914676+00:00,1,12,COMPLETE,2020-01-13 23:49:49.865162+00:00,0 days 07:54:38.950486,28478,30709,57310,0.0,0.0,0.0,0.0,1.0,1.0,0.0
38,QUALITY_CONTROL,START,2020-01-13 23:49:49.865162+00:00,1,12,COMPLETE,2020-01-14 02:54:55.714524+00:00,0 days 03:05:05.849362,11105,12500,85789,1.0,0.0,0.0,0.0,1.0,1.0,1.0
39,DIAGNOSIS,START,2020-01-17 18:17:40.583190+00:00,Jane,13,COMPLETE,2020-01-17 19:17:05.156881+00:00,0 days 00:59:24.573691,3564,3491,65860,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,REPAIR,START,2020-01-17 19:17:05.156881+00:00,1,13,COMPLETE,2020-01-17 23:08:44.781635+00:00,0 days 03:51:39.624754,13899,28411,69425,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,QUALITY_CONTROL,START,2020-01-17 23:08:44.781635+00:00,Joe,13,COMPLETE,2020-01-18 06:01:24.590753+00:00,0 days 06:52:39.809118,24759,20507,83324,1.0,0.0,1.0,0.0,0.0,1.0,1.0
42,DIAGNOSIS,START,2020-01-18 04:08:17.524421+00:00,Jane,14,COMPLETE,2020-01-18 04:44:52.414090+00:00,0 days 00:36:34.889669,2194,3483,14897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,REPAIR,START,2020-01-18 04:44:52.414090+00:00,Jane,14,COMPLETE,2020-01-18 07:05:43.987971+00:00,0 days 02:20:51.573881,8451,13919,17092,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,QUALITY_CONTROL,START,2020-01-18 07:05:43.987971+00:00,Joe,14,COMPLETE,2020-01-18 13:19:01.228798+00:00,0 days 06:13:17.240827,22397,10847,25543,0.0,0.0,2.0,0.0,0.0,1.0,1.0
45,DIAGNOSIS,START,2020-01-18 10:19:55.997292+00:00,Jane,15,COMPLETE,2020-01-18 10:49:06.112523+00:00,0 days 00:29:10.115231,1750,2581,37195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,REPAIR,START,2020-01-18 10:49:06.112523+00:00,Jane,15,COMPLETE,2020-01-18 15:43:44.870872+00:00,0 days 04:54:38.758349,17678,34358,38946,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47,QUALITY_CONTROL,START,2020-01-18 15:43:44.870872+00:00,Joe,15,COMPLETE,2020-01-18 21:10:25.967533+00:00,0 days 05:26:41.096661,19601,23401,56624,0.0,0.0,2.0,0.0,0.0,1.0,1.0
48,DIAGNOSIS,START,2020-01-18 12:46:25.029480+00:00,1,16,COMPLETE,2020-01-18 14:00:07.780990+00:00,0 days 01:13:42.751510,4422,2432,45985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,REPAIR,START,2020-01-18 14:00:07.780990+00:00,1,16,COMPLETE,2020-01-19 04:46:46.620894+00:00,0 days 14:46:38.839904,53198,11519,50407,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,QUALITY_CONTROL,START,2020-01-19 04:46:46.620894+00:00,Joe,16,COMPLETE,2020-01-19 08:02:37.704114+00:00,0 days 03:15:51.083220,11751,9510,17206,2.0,0.0,0.0,0.0,0.0,1.0,1.0
51,DIAGNOSIS,START,2020-01-18 20:09:21.487332+00:00,Karsten,17,COMPLETE,2020-01-18 21:12:45.502377+00:00,0 days 01:03:24.015045,3804,4959,72561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,REPAIR,START,2020-01-18 21:12:45.502377+00:00,Jane,17,COMPLETE,2020-01-19 04:57:10.931624+00:00,0 days 07:44:25.429247,27865,28319,76365,0.0,0.0,0.0,0.0,1.0,1.0,0.0
53,QUALITY_CONTROL,START,2020-01-19 04:57:10.931624+00:00,1,17,COMPLETE,2020-01-19 08:12:01.838212+00:00,0 days 03:14:50.906588,11690,11260,17830,0.0,0.0,1.0,0.0,1.0,1.0,1.0
54,DIAGNOSIS,START,2020-01-20 04:56:38.900521+00:00,Jane,18,COMPLETE,2020-01-20 05:38:33.928155+00:00,0 days 00:41:55.027634,2515,5130,17798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,REPAIR,START,2020-01-20 05:38:33.928155+00:00,Jane,18,COMPLETE,2020-01-20 08:30:43.675727+00:00,0 days 02:52:09.747572,10329,12329,20313,0.0,0.0,1.0,0.0,0.0,1.0,0.0
56,QUALITY_CONTROL,START,2020-01-20 08:30:43.675727+00:00,Karsten,18,COMPLETE,2020-01-20 11:29:26.413350+00:00,0 days 02:58:42.737623,10722,12071,30643,0.0,0.0,2.0,0.0,0.0,1.0,1.0
57,DIAGNOSIS,START,2020-01-21 01:30:17.030677+00:00,Jane,19,COMPLETE,2020-01-21 02:13:03.383031+00:00,0 days 00:42:46.352354,2566,3866,5417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,REPAIR,START,2020-01-21 02:13:03.383031+00:00,Joe,19,COMPLETE,2020-01-21 12:55:34.533283+00:00,0 days 10:42:31.150252,38551,13333,7983,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,QUALITY_CONTROL,START,2020-01-21 12:55:34.533283+00:00,1,19,COMPLETE,2020-01-21 15:46:50.040851+00:00,0 days 02:51:15.507568,10275,9630,46534,0.0,0.0,1.0,1.0,0.0,1.0,1.0
60,DIAGNOSIS,START,2020-01-21 20:45:44.267212+00:00,Karsten,20,COMPLETE,2020-01-21 21:45:20.005167+00:00,0 days 00:59:35.737955,3575,5027,74744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,REPAIR,START,2020-01-21 21:45:20.005167+00:00,Clark,20,COMPLETE,2020-01-22 01:46:40.121352+00:00,0 days 04:01:20.116185,14480,9376,78320,0.0,0.0,0.0,0.0,1.0,1.0,0.0
62,QUALITY_CONTROL,START,2020-01-22 01:46:40.121352+00:00,Clark,20,COMPLETE,2020-01-22 03:51:57.805178+00:00,0 days 02:05:17.683826,7517,12591,6400,0.0,1.0,0.0,0.0,1.0,1.0,1.0
63,DIAGNOSIS,START,2020-01-22 03:33:56.785013+00:00,Joe,21,COMPLETE,2020-01-22 04:35:01.318227+00:00,0 days 01:01:04.533214,3664,3139,12836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,REPAIR,START,2020-01-22 04:35:01.318227+00:00,Jane,21,COMPLETE,2020-01-22 16:56:07.357745+00:00,0 days 12:21:06.039518,44466,16780,16501,0.0,0.0,0.0,1.0,0.0,1.0,0.0
65,QUALITY_CONTROL,START,2020-01-22 16:56:07.357745+00:00,1,21,COMPLETE,2020-01-22 20:02:10.593370+00:00,0 days 03:06:03.235625,11163,12113,60967,0.0,0.0,1.0,1.0,0.0,1.0,1.0
66,DIAGNOSIS,START,2020-01-22 21:56:52.000469+00:00,1,22,COMPLETE,2020-01-22 22:43:34.045630+00:00,0 days 00:46:42.045161,2802,3322,79012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,REPAIR,START,2020-01-22 22:43:34.045630+00:00,Clark,22,COMPLETE,2020-01-23 15:52:13.946510+00:00,0 days 17:08:39.900880,61719,43767,81814,1.0,0.0,0.0,0.0,0.0,1.0,0.0
68,QUALITY_CONTROL,START,2020-01-23 15:52:13.946510+00:00,Clark,22,COMPLETE,2020-01-23 19:06:32.954642+00:00,0 days 03:14:19.008132,11659,6890,57133,1.0,1.0,0.0,0.0,0.0,1.0,1.0
69,DIAGNOSIS,START,2020-01-23 10:57:33.111732+00:00,1,23,COMPLETE,2020-01-23 12:06:34.325824+00:00,0 days 01:09:01.214092,4141,4372,39453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,REPAIR,START,2020-01-23 12:06:34.325824+00:00,Karsten,23,COMPLETE,2020-01-23 15:31:42.724164+00:00,0 days 03:25:08.398340,12308,21873,43594,1.0,0.0,0.0,0.0,0.0,1.0,0.0
71,QUALITY_CONTROL,START,2020-01-23 15:31:42.724164+00:00,Joe,23,COMPLETE,2020-01-23 18:08:47.402476+00:00,0 days 02:37:04.678312,9424,12739,55902,1.0,0.0,0.0,0.0,1.0,1.0,1.0
72,DIAGNOSIS,START,2020-01-25 11:55:21.068372+00:00,1,24,COMPLETE,2020-01-25 13:08:34.477083+00:00,0 days 01:13:13.408711,4393,3096,42921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,REPAIR,START,2020-01-25 13:08:34.477083+00:00,Joe,24,COMPLETE,2020-01-25 20:57:09.724789+00:00,0 days 07:48:35.247706,28115,20115,47314,1.0,0.0,0.0,0.0,0.0,1.0,0.0
74,QUALITY_CONTROL,START,2020-01-25 20:57:09.724789+00:00,Karsten,24,COMPLETE,2020-01-26 00:31:08.820182+00:00,0 days 03:33:59.095393,12839,12229,75429,1.0,0.0,0.0,1.0,0.0,1.0,1.0
75,DIAGNOSIS,START,2020-01-28 11:34:37.400089+00:00,Joe,25,COMPLETE,2020-01-28 12:41:36.029349+00:00,0 days 01:06:58.629260,4018,4854,41677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,REPAIR,START,2020-01-28 12:41:36.029349+00:00,Jane,25,COMPLETE,2020-01-29 03:42:31.801550+00:00,0 days 15:00:55.772201,54055,16583,45696,0.0,0.0,0.0,1.0,0.0,1.0,0.0
77,QUALITY_CONTROL,START,2020-01-29 03:42:31.801550+00:00,1,25,COMPLETE,2020-01-29 06:52:17.849756+00:00,0 days 03:09:46.048206,11386,12011,13351,0.0,0.0,1.0,1.0,0.0,1.0,1.0
78,DIAGNOSIS,START,2020-01-28 15:04:27.875021+00:00,Joe,26,COMPLETE,2020-01-28 15:57:11.581144+00:00,0 days 00:52:43.706123,3163,4306,54267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,REPAIR,START,2020-01-28 15:57:11.581144+00:00,Karsten,26,COMPLETE,2020-01-29 07:25:40.324553+00:00,0 days 15:28:28.743409,55708,24443,57431,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80,QUALITY_CONTROL,START,2020-01-29 07:25:40.324553+00:00,Clark,26,COMPLETE,2020-01-29 09:34:14.971987+00:00,0 days 02:08:34.647434,7714,16590,26740,0.0,0.0,0.0,1.0,1.0,1.0,1.0
81,DIAGNOSIS,START,2020-02-02 03:34:04.693153+00:00,Jane,27,COMPLETE,2020-02-02 04:21:10.450695+00:00,0 days 00:47:05.757542,2825,4342,12844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,REPAIR,START,2020-02-02 04:21:10.450695+00:00,Clark,27,COMPLETE,2020-02-02 08:23:54.223089+00:00,0 days 04:02:43.772394,14563,15064,15670,0.0,0.0,1.0,0.0,0.0,1.0,0.0
83,QUALITY_CONTROL,START,2020-02-02 08:23:54.223089+00:00,Karsten,27,COMPLETE,2020-02-02 11:05:07.214066+00:00,0 days 02:41:12.990977,9672,10129,30234,0.0,1.0,1.0,0.0,0.0,1.0,1.0
84,DIAGNOSIS,START,2020-02-02 17:56:39.257506+00:00,Karsten,28,COMPLETE,2020-02-02 18:51:38.811348+00:00,0 days 00:54:59.553842,3299,3935,64599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,REPAIR,START,2020-02-02 18:51:38.811348+00:00,Jane,28,COMPLETE,2020-02-03 00:34:47.404984+00:00,0 days 05:43:08.593636,20588,12022,67898,0.0,0.0,0.0,0.0,1.0,1.0,0.0
86,QUALITY_CONTROL,START,2020-02-03 00:34:47.404984+00:00,1,28,COMPLETE,2020-02-03 04:05:06.263868+00:00,0 days 03:30:18.858884,12618,12289,2087,0.0,0.0,1.0,0.0,1.0,1.0,1.0
87,DIAGNOSIS,START,2020-02-04 10:20:46.398747+00:00,1,29,COMPLETE,2020-02-04 11:20:45.389747+00:00,0 days 00:59:58.991000,3598,3245,37246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,REPAIR,START,2020-02-04 11:20:45.389747+00:00,Jane,29,COMPLETE,2020-02-04 17:35:23.860790+00:00,0 days 06:14:38.471043,22478,33755,40845,1.0,0.0,0.0,0.0,0.0,1.0,0.0
89,QUALITY_CONTROL,START,2020-02-04 17:35:23.860790+00:00,Clark,29,COMPLETE,2020-02-04 22:56:24.870606+00:00,0 days 05:21:01.009816,19261,10183,63323,1.0,0.0,1.0,0.0,0.0,1.0,1.0
90,DIAGNOSIS,START,2020-02-04 19:56:55.001345+00:00,Joe,30,COMPLETE,2020-02-04 20:41:23.587972+00:00,0 days 00:44:28.586627,2668,4451,71815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,REPAIR,START,2020-02-04 20:41:23.587972+00:00,Jane,30,COMPLETE,2020-02-05 21:36:27.200047+00:00,1 days 00:55:03.612075,89703,24582,74483,0.0,0.0,0.0,1.0,0.0,1.0,0.0
92,QUALITY_CONTROL,START,2020-02-05 21:36:27.200047+00:00,Clark,30,COMPLETE,2020-02-06 01:03:23.849746+00:00,0 days 03:26:56.649699,12416,5781,77787,0.0,0.0,1.0,1.0,0.0,1.0,1.0
93,DIAGNOSIS,START,2020-02-05 09:12:05.702888+00:00,Clark,31,COMPLETE,2020-02-05 10:12:35.119250+00:00,0 days 01:00:29.416362,3629,3488,33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,REPAIR,START,2020-02-05 10:12:35.119250+00:00,Joe,31,COMPLETE,2020-02-05 13:52:50.319920+00:00,0 days 03:40:15.200670,13215,32864,36755,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,QUALITY_CONTROL,START,2020-02-05 13:52:50.319920+00:00,1,31,COMPLETE,2020-02-05 17:17:49.294968+00:00,0 days 03:24:58.975048,12298,11333,49970,0.0,1.0,0.0,1.0,0.0,1.0,1.0
96,DIAGNOSIS,START,2020-02-06 21:32:11.917914+00:00,Joe,32,COMPLETE,2020-02-06 22:31:27.290836+00:00,0 days 00:59:15.372922,3555,4113,77531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,REPAIR,START,2020-02-06 22:31:27.290836+00:00,Karsten,32,COMPLETE,2020-02-07 05:42:25.658921+00:00,0 days 07:10:58.368085,25858,15979,81087,0.0,0.0,0.0,1.0,0.0,1.0,0.0
98,QUALITY_CONTROL,START,2020-02-07 05:42:25.658921+00:00,1,32,COMPLETE,2020-02-07 08:20:49.534957+00:00,0 days 02:38:23.876036,9503,10088,20545,0.0,0.0,0.0,1.0,1.0,1.0,1.0
99,DIAGNOSIS,START,2020-02-07 17:47:04.502476+00:00,Karsten,33,COMPLETE,2020-02-07 18:49:08.545099+00:00,0 days 01:02:04.042623,3724,4178,64024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,REPAIR,START,2020-02-07 18:49:08.545099+00:00,Karsten,33,COMPLETE,2020-02-08 03:33:31.179178+00:00,0 days 08:44:22.634079,31462,14728,67748,0.0,0.0,0.0,0.0,1.0,1.0,0.0
101,QUALITY_CONTROL,START,2020-02-08 03:33:31.179178+00:00,Karsten,33,COMPLETE,2020-02-08 06:47:10.397300+00:00,0 days 03:13:39.218122,11619,12079,12811,0.0,0.0,0.0,0.0,2.0,1.0,1.0
102,DIAGNOSIS,START,2020-02-08 04:03:46.132069+00:00,1,34,COMPLETE,2020-02-08 04:58:59.301171+00:00,0 days 00:55:13.169102,3313,4420,14626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,REPAIR,START,2020-02-08 04:58:59.301171+00:00,1,34,COMPLETE,2020-02-08 14:36:50.725574+00:00,0 days 09:37:51.424403,34671,32533,17939,1.0,0.0,0.0,0.0,0.0,1.0,0.0
104,QUALITY_CONTROL,START,2020-02-08 14:36:50.725574+00:00,Karsten,34,COMPLETE,2020-02-08 17:16:37.070672+00:00,0 days 02:39:46.345098,9586,10481,52610,2.0,0.0,0.0,0.0,0.0,1.0,1.0
105,DIAGNOSIS,START,2020-02-10 09:24:09.006799+00:00,Clark,35,COMPLETE,2020-02-10 10:06:40.623734+00:00,0 days 00:42:31.616935,2551,2817,33849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,REPAIR,START,2020-02-10 10:06:40.623734+00:00,Clark,35,COMPLETE,2020-02-10 15:10:40.585610+00:00,0 days 05:03:59.961876,18239,14261,36400,0.0,1.0,0.0,0.0,0.0,1.0,0.0
107,QUALITY_CONTROL,START,2020-02-10 15:10:40.585610+00:00,Karsten,35,COMPLETE,2020-02-10 18:06:53.003784+00:00,0 days 02:56:12.418174,10572,10519,54640,0.0,2.0,0.0,0.0,0.0,1.0,1.0
108,DIAGNOSIS,START,2020-02-10 12:47:08.940330+00:00,Joe,36,COMPLETE,2020-02-10 13:46:15.721520+00:00,0 days 00:59:06.781190,3546,2947,46028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,REPAIR,START,2020-02-10 13:46:15.721520+00:00,Jane,36,COMPLETE,2020-02-11 02:05:29.947097+00:00,0 days 12:19:14.225577,44354,12275,49575,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,QUALITY_CONTROL,START,2020-02-11 02:05:29.947097+00:00,Clark,36,COMPLETE,2020-02-11 04:20:17.347858+00:00,0 days 02:14:47.400761,8087,8310,7529,0.0,0.0,1.0,1.0,0.0,1.0,1.0
111,DIAGNOSIS,START,2020-02-11 13:59:09.383870+00:00,Clark,37,COMPLETE,2020-02-11 14:59:17.453977+00:00,0 days 01:00:08.070107,3608,5100,50349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,REPAIR,START,2020-02-11 14:59:17.453977+00:00,Jane,37,COMPLETE,2020-02-12 02:33:40.611195+00:00,0 days 11:34:23.157218,41663,15260,53957,0.0,1.0,0.0,0.0,0.0,1.0,0.0
113,QUALITY_CONTROL,START,2020-02-12 02:33:40.611195+00:00,Jane,37,COMPLETE,2020-02-12 04:59:25.954305+00:00,0 days 02:25:45.343110,8745,38304,9220,0.0,1.0,1.0,0.0,0.0,1.0,1.0
114,DIAGNOSIS,START,2020-02-12 16:52:40.757845+00:00,1,38,COMPLETE,2020-02-12 17:48:19.631016+00:00,0 days 00:55:38.873171,3338,3135,60760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,REPAIR,START,2020-02-12 17:48:19.631016+00:00,Clark,38,COMPLETE,2020-02-12 21:17:32.571314+00:00,0 days 03:29:12.940298,12552,29886,64099,1.0,0.0,0.0,0.0,0.0,1.0,0.0
116,QUALITY_CONTROL,START,2020-02-12 21:17:32.571314+00:00,Jane,38,COMPLETE,2020-02-13 01:12:52.355318+00:00,0 days 03:55:19.784004,14119,22900,76652,1.0,1.0,0.0,0.0,0.0,1.0,1.0
117,DIAGNOSIS,START,2020-02-13 05:01:53.820036+00:00,Joe,39,COMPLETE,2020-02-13 05:54:24.480469+00:00,0 days 00:52:30.660433,3150,3105,18113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
